id,name,link,abbreviation,teamName,locationName,firstYearOfPlay,shortName,officialSiteUrl,franchiseId,active,venueName,venueLink,venueCity,venueTimeZoneId,venueTimeZoneOffset,venueTimeZoneTz,divisionId,divisionName,divisionLink,conferenceId,conferenceName,conferenceLink,franchiseFranchiseId,franchiseTeamName,franchiseLink,venueId,season,divisionNameShort,divisionAbbreviation
13,Florida Panthers,/api/v1/teams/13,FLA,Panthers,Florida,1993,Florida,http://www.floridapanthers.com/,33,True,FLA Live Arena,/api/v1/venues/5027,Sunrise,America/New_York,-5,EST,3,Southeast,/api/v1/divisions/3,1,Eastern,/api/v1/conferences/1,33,Panthers,/api/v1/franchises/33,5027.0,20062007,,
14,Tampa Bay Lightning,/api/v1/teams/14,TBL,Lightning,Tampa Bay,1992,Tampa Bay,http://www.tampabaylightning.com/,31,True,AMALIE Arena,/api/v1/venues/null,Tampa,America/New_York,-5,EST,3,Southeast,/api/v1/divisions/3,1,Eastern,/api/v1/conferences/1,31,Lightning,/api/v1/franchises/31,,20062007,,
15,Washington Capitals,/api/v1/teams/15,WSH,Capitals,Washington,1974,Washington,http://www.washingtoncapitals.com/,24,True,Capital One Arena,/api/v1/venues/5094,Washington,America/New_York,-5,EST,3,Southeast,/api/v1/divisions/3,1,Eastern,/api/v1/conferences/1,24,Capitals,/api/v1/franchises/24,5094.0,20062007,,
16,Chicago Blackhawks,/api/v1/teams/16,CHI,Blackhawks,Chicago,1926,Chicago,http://www.chicagoblackhawks.com/,11,True,United Center,/api/v1/venues/5092,Chicago,America/Chicago,-6,CST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,11,Blackhawks,/api/v1/franchises/11,5092.0,20062007,,
17,Detroit Red Wings,/api/v1/teams/17,DET,Red Wings,Detroit,1932,Detroit,http://www.detroitredwings.com/,12,True,Little Caesars Arena,/api/v1/venues/5145,Detroit,America/Detroit,-5,EST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,12,Red Wings,/api/v1/franchises/12,5145.0,20062007,,
18,Nashville Predators,/api/v1/teams/18,NSH,Predators,Nashville,1998,Nashville,http://www.nashvillepredators.com/,34,True,Bridgestone Arena,/api/v1/venues/5030,Nashville,America/Chicago,-6,CST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,34,Predators,/api/v1/franchises/34,5030.0,20062007,,
19,St. Louis Blues,/api/v1/teams/19,STL,Blues,St. Louis,1967,St Louis,http://www.stlouisblues.com/,18,True,Enterprise Center,/api/v1/venues/5076,St. Louis,America/Chicago,-6,CST,4,Central,/api/v1/divisions/4,2,Western,/api/v1/conferences/2,18,Blues,/api/v1/franchises/18,5076.0,20062007,,
20,Calgary Flames,/api/v1/teams/20,CGY,Flames,Calgary,1980,Calgary,http://www.calgaryflames.com/,21,True,Scotiabank Saddledome,/api/v1/venues/5075,Calgary,America/Denver,-7,MST,5,Northwest,/api/v1/divisions/5,2,Western,/api/v1/conferences/2,21,Flames,/api/v1/franchises/21,5075.0,20062007,,
21,Colorado Avalanche,/api/v1/teams/21,COL,Avalanche,Colorado,1995,Colorado,http://www.coloradoavalanche.com/,27,True,Ball Arena,/api/v1/venues/5064,Denver,America/Denver,-7,MST,5,Northwest,/api/v1/divisions/5,2,Western,/api/v1/conferences/2,27,Avalanche,/api/v1/franchises/27,5064.0,20062007,,
22,Edmonton Oilers,/api/v1/teams/22,EDM,Oilers,Edmonton,1979,Edmonton,http://www.edmontonoilers.com/,25,True,Rogers Place,/api/v1/venues/5100,Edmonton,America/Edmonton,-7,MST,5,Northwest,/api/v1/divisions/5,2,Western,/api/v1/conferences/2,25,Oilers,/api/v1/franchises/25,5100.0,20062007,,
